cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,channel
UgzcjUoOUd27j_Xc0kR4AaABAg,"Así es Señorón , lucharemos y lucharemos todos a impulsar las metralletas , pero las metralletas de plástico , las tarjetas de elector con fotografía y a invitar a votar y darle a conocer los desmadres del Dictador atolondrado",hace 2 días,Jesus Fernandez,UC8NopA-E4WxImIKPYDII6WA,0,https://yt3.ggpht.com/ytc/AMLnZu_hBRx2wzLUH9s-av-P2POfuPXS1uGGkv_87A=s176-c-k-c0x00ffffff-no-rj,false,false,1666217045,1
UgzdHLc1PL7WT0RpmCl4AaABAg,"Y nosotros ya decidimos luchar para mantener la 4t. Un periodo dónde se está viviendo el gran cambio.
Carlos te vas a morir y México no va a regresar a la dictadura del Prian.
Tu PAN destruyó nuestro país, pregúntale a Calderón, la tapadera de Margarita, el delincuente de Fox, el fugitivo de Anaya, la poeta de los insultos Lyli Tellez, la secuestradora de Xochitl.

Todo lo que ustedes dicen nada y nadie les cree nada.
Ni un voto al PAN",hace 2 días,Héctor García,UC6iaI24MP3ybEjHuBwds5LQ,0,https://yt3.ggpht.com/ytc/AMLnZu-lUYdnrr6awNH60ueB1mHlbLdpKGgNGtMZmiR_ExC9Q3NAHelHg3AcO6IWXFFK=s176-c-k-c0x00ffffff-no-rj,false,false,1666217045,1
UgyHNB5AhRc1hfONokd4AaABAg.9hO6uf_VJRv9hQO53yInjU,Jajajaj jajajaj,hace 1 día,Cristian raul Pech gomez,UChngrEzvviCv52BAH1HVFsg,0,https://yt3.ggpht.com/ytc/AMLnZu_71Aj-6aHPZEajoQmPEPIGBsrbMJ0QLRI6OQ=s176-c-k-c0x00ffffff-no-rj,false,true,1666303445,1
UgyjmRfTQukGz1OiW-54AaABAg.9hNwysKqr-l9hQNwb3645V,Jajajaj jajajaj tu qulo,hace 1 día,Cristian raul Pech gomez,UChngrEzvviCv52BAH1HVFsg,0,https://yt3.ggpht.com/ytc/AMLnZu_71Aj-6aHPZEajoQmPEPIGBsrbMJ0QLRI6OQ=s176-c-k-c0x00ffffff-no-rj,false,true,1666303446,1
Ugy2mtD6bpHg6HIz0aF4AaABAg.9hNwm5yPYor9hO76BGJp_5,Por Gente como tú el país está Vien jodido,hace 1 día,Jose Espinoza,UCpQh34_Gw50OjVil11Fk5OQ,0,https://yt3.ggpht.com/ytc/AMLnZu_bISqglnrvno2XlprvsED_DzMAea9gWQrE_x2aOCGoN2hdu3f9FrgwvIaO-LmA=s176-c-k-c0x00ffffff-no-rj,false,true,1666303447,1
Ugx6Y52-JHmkNZcBwM54AaABAg,"Creo yo que AMLO esta acabando  con las RATAS, es el exterminador, porque yo estoy mejor, ahora asta me tomo unas chelas con lo que AMLO me da,. Viva AMLO.",hace 2 días,Geardo Sanchez,UCnSs4lQEe3Gb60afKCu1OjQ,0,https://yt3.ggpht.com/ytc/AMLnZu8Fq5xm0VDgEwjO2G-2NDODaeKB2LBEW9budA=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
Ugyq-wHN9YS_zxjCuiV4AaABAg,https://youtu.be/kP5g6mBW0Ws,hace 2 días,Héctor García,UC6iaI24MP3ybEjHuBwds5LQ,0,https://yt3.ggpht.com/ytc/AMLnZu-lUYdnrr6awNH60ueB1mHlbLdpKGgNGtMZmiR_ExC9Q3NAHelHg3AcO6IWXFFK=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
UgzvMSNbXbrVgzLZu4x4AaABAg,"Todo mi apoyo para los raterotes del PRI y PAN tienen mi voto, para que vuelvan a saquear a México.
Saludos a Carlos kakasraki nariz de pan de muerto 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",hace 2 días,Gilberto Sandoval,UCwpYeOF34LUZgJUgHh4Y3vg,1,https://yt3.ggpht.com/ytc/AMLnZu-W0MhGpD7b164o1dHG7mRoEaIWb4VVcXAwZQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
UgzAz7j7KG1WiMBPKqR4AaABAg,Son unos hijos de pvta !!!!!!,hace 2 días,Federico A Leon C,UCvJaVOV-udGdft9iXTmueog,0,https://yt3.ggpht.com/ytc/AMLnZu-7egRGOvvh6soH11qNG8yWzVfhkeBjtZZanA=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
UgxMhyUxd83GN7ZvBgV4AaABAg,"México ya se está acabando . y a comieron . Los. del PRI PAN, Y LOS DE. MORENA AHORA vamos con  MOVIMIENTO CIUDADANO. QUE Son más Jóvenes . y Estudiados. . ya que queden afuera los Historiadores.",hace 2 días,Marcos García Lopez,UCnBmxd9QqPllNDMWTzE_4JA,1,https://yt3.ggpht.com/ytc/AMLnZu8aKYmoNLiLcGoNPLHTWNB8TasX3cH8nPGmwg=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
UgxkCqvRGCilNpMCHOB4AaABAg,de una forma o otra las van a pagar,hace 2 días,coco pirata,UCd-nBWZWqeWUphvojurvmVA,3,https://yt3.ggpht.com/ytc/AMLnZu89JsGNSQ4kuFAQYM5ySpzqYZwBIRP_TQJb0EnG=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
Ugy_vkf3L3aRA6LlUnN4AaABAg,Quiero ver el video “EL REY DEL CASH HIZO ENFURECER A AMLO” y dice que están procesando el video 😢 qué onda ?,hace 2 días,Fluffy Geek,UCGw6WLVQsVGNAgGkJFYO7GA,1,https://yt3.ggpht.com/hcim1LuQ3ks8SLYEAvix6Ic9wtJY1FfM9ksA8d4M2sQuI9KQ9JT_GCs2BXJtpHCz-INO-zot=s176-c-k-c0x00ffffff-no-rj,false,false,1666217047,1
cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,1
UgyAOStfqUu9_l52iIN4AaABAg,Este sr se comporta como un verdadero presidente!!!!!,hace 44 minutos,Gildardo Camargo,UCa_TItHv5UfRSw9uwp98-6w,0,https://yt3.ggpht.com/ytc/AMLnZu-hK-7JzYpNafEoMPkM6LFZNE4fWG06F7qTGQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666387225,1
Ugw51_2AKbJp8ufMaY14AaABAg,Excelente.,hace 1 hora,jhlarav,UC-TDg9UADiCtR15R2OtFYEg,1,https://yt3.ggpht.com/ytc/AMLnZu_X_ciYxWRkx6uO8TAgf1B190CauDgaEZkSHA=s176-c-k-c0x00ffffff-no-rj,false,false,1666386265,1
Ugx3_lIOnYQg_WuMX-N4AaABAg,"Señor Gurría vaya a Ud. Mi admiración, respeto y orgullo de que sea Ud. Un Mexicano Priísta, comprometido como todos los que han desfilado por esta pasarela",hace 2 horas,arias fernández ma. del rosario,UCGkBevksnV7iu8sghJwczYw,0,https://yt3.ggpht.com/ytc/AMLnZu8HP_2m4HUxAT25GN3mFvipC1Ea1GeKs3fG6o_a=s176-c-k-c0x00ffffff-no-rj,false,false,1666382665,1
UgwQx9-OTTntkcSHH4N4AaABAg,Totalmente de acuerdo...,hace 2 horas,odnamrasajor,UCzvd66QrkPBH2AuXQ2MnsBQ,0,https://yt3.ggpht.com/ytc/AMLnZu8Dw1rP7QspTU8APfa3lpd5KgifYqTTbnJHoA=s176-c-k-c0x00ffffff-no-rj,false,false,1666382665,1
